family,arm,label,rpm,level_mps2,bandwidth_hz,hull_rms_mps2,recorded_rms_mps2,firing_hz,blade_hz,vre_offset_mps2,records,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,disp_z_ref_rms_m,disp_z_pct_refrms,disp_3d_ratio_to_baseline,disp_z_ratio_to_baseline,pitch_ratio_to_baseline,yaw_ratio_to_baseline
OU-III,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,8,13.772949789446098,14.279382458903639,5.058552496879811,20.473980453120028,5.989437180958297,3.6017915437221966,90.65292645067302,0.3926704393619659,0.22026629521346916,0.36559425707732685,0.2352445361435683,4.528691438729884,5.647428969935672,3.3741936265267687,74.23579264215044,1.2154712712291358,416.18034227698274,50.53007725733549,28.249125128786385,23.07167905138282,157.3053619968066
OU-III,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,8,15.434833451048648,14.869097817268505,5.734085832695235,22.18566855808072,7.233270815240132,1.9721452831354909,90.29177107546882,0.3808306843525897,0.23971834622857632,0.783819111796752,0.1839849904784567,5.094683056759493,6.836908680140366,1.410561403391885,94.7542300151293,1.2154712712291358,471.7582363667621,54.75454803780581,32.021592794959105,12.632797446178351,156.67866764442402
OU-III,speed,speed 2800 rpm,2800.0,0.6,80.0,0.698617,0.506742,70.0,53.8462,3.16641e-05,8,15.449439132296792,15.931091131326703,6.623286218812549,23.15929069476342,7.471269544485321,2.3362854707252647,90.57301710494218,0.3678906576559126,0.2452875426630531,0.4100288873664296,0.6329131498420227,5.789154751524762,7.051851361384427,1.56987784326898,92.47591513715328,1.2154712712291358,544.9150774345167,57.15746142822725,36.98726884309482,14.965338193136578,157.1666994180099
OU-III,speed,speed 3200 rpm,3200.0,0.6,80.0,0.807673,0.565733,80.0,61.5385,4.23214e-05,8,16.96251622784408,17.813968673862707,9.390937695975518,26.329719089120044,7.764604114750909,5.224862280522391,91.24027645429636,0.35951142786644885,0.26729084141791243,0.3493383812877167,1.0905082323300026,8.134040138501431,7.359361987931048,4.665411175922979,82.92155464357974,1.2154712712291358,772.6170020027711,64.9821241542912,52.44302084714579,33.468440402664896,158.3245602572077
OU-III,level,level 0.15 m/s^2,2400.0,0.15,80.0,0.15,0.113583,60.0,46.1538,1.45972e-06,8,0.618152189267881,0.7183730301394857,0.26091510948193664,0.9829794769270738,0.6341133630168758,1.6534509884158393,48.86670645320839,0.29904170675221386,0.001666576280823194,0.22838529506460162,0.2312688462588498,0.14136853052286205,0.4917778100498431,1.6071215607257916,46.77353602118924,1.2154712712291358,21.466168362670416,2.426007440284093,1.4570617939207975,10.591365454897701,84.79588303634472
OU-III,level,level 0.30 m/s^2,2400.0,0.3,80.0,0.3,0.227167,60.0,46.1538,5.8389e-06,8,2.7424689382114322,2.642606351891618,0.6512487538810395,3.8637584218132615,1.9920233229694768,1.9140253065916308,90.15234666730832,0.3771387965327657,0.11360767769186299,0.2169466997014213,0.3286909423029753,0.5241239955421612,1.8620326858503877,1.827672360806565,89.94912790649738,1.2154712712291358,53.57993802868491,9.535811172866133,3.6368521528044555,12.26050342832187,156.43673163799173
OU-III,level,level 1.20 m/s^2,2400.0,1.2,80.0,1.2,0.908668,60.0,46.1538,9.34224e-05,8,32.18485722725806,30.176980428323315,117.19144603259973,125.22120410110833,30.946097735598734,28.214899764309365,103.67956465204388,0.3580533586698387,0.9230268341987272,5.137393628896968,4.084884737975537,114.68935810670305,23.00485326867395,25.126326645821948,105.12465996562716,1.2154712712291358,9641.646726383817,309.0477267951744,654.4472603655543,180.7336998621403,179.90981745234097
OU-III,level,level 2.40 m/s^2,2400.0,2.4,80.0,2.4,1.81734,60.0,46.1538,0.000373689,8,41.337555299052376,41.621341237859426,232.760300433257,240.0385124406985,44.628687815637846,33.34745237579332,103.37548894174354,0.3628648342524088,1.7523168508277442,4.9930399456544645,6.586452457370034,223.03798756473608,28.756564984902475,26.97472956160097,72.46185078172003,1.2154712712291358,19149.798596052377,592.4184897087767,1299.8332736506568,213.61084034321303,179.38217050749293
OU-III,bandwidth,bandwidth 20 Hz,2400.0,0.6,20.0,0.6,0.186454,60.0,46.1538,2.33556e-05,8,0.6580783837499857,0.7093370431316237,0.32121234631646906,1.0195114448976608,1.4636144552735713,1.517129637383358,66.67995178818744,0.35351741218971505,0.016206804830863668,0.3707363973475985,0.2722276938013254,0.22308802358809407,1.3926973377036123,1.423086525084235,80.39322255040196,1.2154712712291358,26.42697971722899,2.516168860929337,1.7937874064966126,9.71814377599343,115.70629172879353
OU-III,bandwidth,bandwidth 40 Hz,2400.0,0.6,40.0,0.6,0.293871,60.0,46.1538,2.33556e-05,8,2.7869051301377055,2.7629427534254334,0.6695361725221165,3.9810768242710957,2.6003726945249617,0.8054604686204772,90.18701027452825,0.3591358761820358,0.12706693611963557,0.22211854133011666,0.30650119908302925,0.5204263939662715,2.490185572667823,0.5456511105457742,89.99495036749302,1.2154712712291358,55.084491782767785,9.825354671917298,3.7389769360883953,5.159467224853191,156.49688161323618
