scenario,wave_phase_seed,imu_noise_seed,initialization_seed,family,input_sha256,samples,window_s,disp_z_pct_hs,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_3d_rms_mps2,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,173,701,1601,OU_III,960ebdd6dc490db087601c864ccd4c16618a4f3944a2f099a48eddce6d67d9f5,180000,900.0,4.19714546,0.16788581,0.316546708,0.147197187,0.1889541,0.872700512,0.0247564521,0.0372302048,0.000150962442
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,173,701,1601,TFG,960ebdd6dc490db087601c864ccd4c16618a4f3944a2f099a48eddce6d67d9f5,180000,900.0,4.20577669,0.16823107,0.318434477,0.215636611,0.308591157,1.01079392,0.0233322773,0.0606954955,0.000127826745
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,211,809,1709,OU_III,f0673e181d562641fd7b46ee41e95038087d2fe45aa18fe4f263b28a5da3e5a8,180000,900.0,4.287673,0.171506926,0.342324913,0.671888947,0.360689014,2.94827461,0.0400737599,0.127648145,0.000126913408
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,211,809,1709,TFG,f0673e181d562641fd7b46ee41e95038087d2fe45aa18fe4f263b28a5da3e5a8,180000,900.0,4.32509279,0.173003718,0.370834261,0.867077768,0.505125463,3.07226205,0.0427773558,0.165742233,0.00011789595
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,257,907,1801,OU_III,0ac686c8e146209df97be4f7f8cbf818cdc998fae630ba270df669eb0b827361,180000,900.0,4.17391825,0.166956723,0.331057996,0.0866906121,0.276000172,1.66998613,0.0268134009,0.0478311144,0.00014006198
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,257,907,1801,TFG,0ac686c8e146209df97be4f7f8cbf818cdc998fae630ba270df669eb0b827361,180000,900.0,4.22998142,0.169199258,0.342630863,0.129313394,0.237552032,0.789703131,0.0264686383,0.0432818532,0.000125884442
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,307,1009,1901,OU_III,c6793dcfcd295060072d6f59ff80c6abb4da32dbd4d23ab919e6e528ac551fbf,180000,900.0,4.36240578,0.174496233,0.327070802,0.285994798,0.224476948,1.5990175,0.0280411784,0.0608708821,0.000122013524
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,307,1009,1901,TFG,c6793dcfcd295060072d6f59ff80c6abb4da32dbd4d23ab919e6e528ac551fbf,180000,900.0,4.35151577,0.174060628,0.332899719,0.476325423,0.27902925,1.80120182,0.0290280133,0.0937866941,0.00011243856
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,11,101,1009,OU_III,cb9003580c8985eadc322f458cbf1c6442f54ca5e18e90b384b659665f24f436,180000,900.0,3.97563887,0.337929308,0.739978969,0.390987366,0.521028876,4.11706305,0.0690687075,0.11058405,0.000130038417
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,11,101,1009,TFG,cb9003580c8985eadc322f458cbf1c6442f54ca5e18e90b384b659665f24f436,180000,900.0,4.00454235,0.340386093,0.736357212,0.470007896,0.610895693,4.26199627,0.0722700432,0.130428493,0.000105373401
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,29,211,1103,OU_III,e2b4e161649acd46f4dcdf32f2da97fa5d3574a2a5db62619967cdbdddbbf86c,180000,900.0,3.96877408,0.337345809,0.762152553,0.234890103,0.284058392,1.26305914,0.0319151245,0.0614843071,0.000123843041
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,29,211,1103,TFG,e2b4e161649acd46f4dcdf32f2da97fa5d3574a2a5db62619967cdbdddbbf86c,180000,900.0,3.97161412,0.337587208,0.752383053,0.264588505,0.142491817,0.94470644,0.0276082288,0.0485660024,0.000116631039
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,47,307,1201,OU_III,f961ed655f01ac2247c493a3adc67799ae3db4355de3e671a244f4c9e5830f88,180000,900.0,4.12205791,0.350374937,0.786284447,0.246948361,0.142908469,1.29280436,0.0353873558,0.0443024598,0.000126121697
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,47,307,1201,TFG,f961ed655f01ac2247c493a3adc67799ae3db4355de3e671a244f4c9e5830f88,180000,900.0,4.10786486,0.349168539,0.913931906,0.477418154,0.850312173,3.12589717,0.0628137961,0.167221203,0.000133452559
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,71,401,1301,OU_III,4ab6d8a1a5975b4ac43a904dfa924d5fea2108d6240a7ec0a34e210391490ee5,180000,900.0,3.50539565,0.297958642,0.738886118,0.186495796,0.187541306,1.39962053,0.0334213786,0.0427862406,0.000144386431
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,71,401,1301,TFG,4ab6d8a1a5975b4ac43a904dfa924d5fea2108d6240a7ec0a34e210391490ee5,180000,900.0,3.52185369,0.299357563,0.753993869,0.170929357,0.134786412,1.36810124,0.0313689932,0.0360038765,0.000109531647
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,97,503,1409,OU_III,cd351beffcbd183abbf08e534196222a5198c019728b38c93aacac06cb533b51,180000,900.0,4.02313709,0.341966659,0.769408762,0.0933924988,0.153540418,2.70975876,0.045271989,0.025916107,0.0001454351
stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,97,503,1409,TFG,cd351beffcbd183abbf08e534196222a5198c019728b38c93aacac06cb533b51,180000,900.0,4.03103352,0.342637837,0.755750358,0.132903367,0.0930669233,2.40925002,0.0410922728,0.0230370462,0.000127198742
