experiment,case,parameter,scale_label,mode,metric,n,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,dir_axis_error_deg,10,0.6549194341000002,0.970663465088922,0.07441387154,1.2320921720024998
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,dir_axis_abs_error_deg,10,0.9853179941000001,0.5831301759348292,0.6654190064999999,1.3470117586424997
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,dir_axis_rmse_deg,10,12.03469534,0.3796747037792111,11.804039094,12.247067240499998
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,dir_axis_circ_std_deg,10,11.90825711,0.34585695232377467,11.70381978,12.09860031
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,dir_sense_forward_pct,10,86.7149459259,30.166158456789255,67.5665919997,96.41522926024999
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,dir_sense_reverse_pct,10,10.584611711300001,30.039204989558115,0.9906652800525,29.633725403775003
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,dir_sense_uncertain_pct,10,2.7004444839999997,0.24309655886948958,2.559611152,2.845612533775
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,dir_sense_dominant_pct,10,96.23589096,0.34781764524787245,96.0285033815,96.43556511625
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,accel_bias_3d_rms_mps2,10,0.11417083495,0.062332315934547494,0.07797340846125,0.15033110900074997
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,gyro_bias_3d_rms_radps,10,0.0003453258293,0.00013788317497093387,0.0002675879991975,0.00042776662396000004
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_x_rms_m,10,0.15217921140000001,0.009663375195546251,0.14648506528,0.1578957556975
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_y_rms_m,10,0.24404034019999998,0.028778974314453885,0.22705852400000004,0.2603197290825
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_z_rms_m,10,0.10816664840999998,0.008701557090981547,0.1030849574475,0.1132641049
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_3d_rms_m,10,0.3078968377,0.023836300903055625,0.2937282360575,0.32169636484
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_x_pct_hs,10,10.145280453,0.6442248730833857,9.767483614875001,10.5236402474
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_y_pct_hs,10,16.269355109999996,1.918598148314695,15.13402652125,17.37039568775
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_z_pct_hs,10,7.211109638000001,0.5801039464938681,6.872853736674999,7.555782356175001
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_3d_pct_refmax,10,23.47899476,2.172485167037978,22.245102329999998,24.794961139500003
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_z_ref_rms_m,10,0.37427037360000004,0.004893837461117378,0.3713640412775,0.3770398909075
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,disp_z_pct_refrms,10,28.92335453,2.5880043212401396,27.394467946250003,30.455763305750004
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,roll_rms_deg,10,0.6221995673,0.3730973334895872,0.407562385695,0.8469437254625
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,pitch_rms_deg,10,0.3335797531,0.16615479787941007,0.23887729534250005,0.43631250631749996
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,yaw_rms_deg,10,2.6161317223,2.7591980120844917,1.2317509194500003,4.414240103782499
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,dir_axis_error_deg,10,0.7122512827,0.9701552371486507,0.13771495839499998,1.2717110838824999
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,dir_axis_abs_error_deg,10,1.0194931034999999,0.5916237236754013,0.7065857309925001,1.3872416697274998
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,dir_axis_rmse_deg,10,12.031849099999999,0.38946949708145007,11.79068323975,12.253831887999999
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,dir_axis_circ_std_deg,10,11.90263186,0.35569230145834724,11.685231121000001,12.10524950575
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,dir_sense_forward_pct,10,86.67161330770001,30.13234503851575,67.56982587585,96.33644716025
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,dir_sense_reverse_pct,10,10.6087222901,29.990341147142924,1.0283333662775,29.614284869547504
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,dir_sense_uncertain_pct,10,2.7196667440000004,0.23488256927990614,2.5846639956750006,2.8593889729999997
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,dir_sense_dominant_pct,10,96.17589113,0.31182911298292626,95.990108932,96.35396476275001
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,accel_bias_3d_rms_mps2,10,0.11662380657,0.06235273674252214,0.07984660319175,0.152949580378
sensitivity,tau_rs_x1.5,tau_rs,1.5,FixedSensitivity,gyro_bias_3d_rms_radps,10,0.0003452240635,0.00013955930908478742,0.0002664371648325,0.0004316025491074999
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_x_rms_m,10,0.18110736160000002,0.010086427596952342,0.17515816521000002,0.18706429024000001
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_y_rms_m,10,0.18689168409999998,0.021810589524837536,0.1745794660625,0.20002431712500002
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_z_rms_m,10,0.07366870345000001,0.0034615397464386874,0.07156875416349999,0.0756943416905
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_3d_rms_m,10,0.27127873909999994,0.010207888080503354,0.2656434866825,0.2775619180925
sensitivity,tau_x0.5,tau,0.5,FixedSensitivity,disp_x_pct_hs,10,12.07382365,0.6724285408746721,11.682666483999999,12.470767019499998
