experiment,parameter,left_case,right_case,comparison,metric,n_pairs,mean_paired_difference,std_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,cohen_dz,hedges_gz
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,gyro_bias_3d_rms_radps,10,-3.759194e-07,2.8542447421649525e-06,-1.9953649500000022e-06,1.342094299999999e-06,-0.1317053840711866,-0.12036224361655216
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_x_rms_m,10,-0.02473577244,0.006451755394840261,-0.028195728133749997,-0.020695615991,-3.833960050590609,-3.50375982637046
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_y_rms_m,10,-0.011981116430000003,0.009209936472074562,-0.01652892709225,-0.006124636926500004,-1.300890235923769,-1.188850923588822
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_z_rms_m,10,-0.005366525633,0.0022490023771132694,-0.006532180326999999,-0.003933216274875,-2.386180507238174,-2.1806704528497836
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_3d_rms_m,10,-0.02620679978,0.011139415447172516,-0.03214865937124999,-0.01899520613625,-2.3526189416565835,-2.149999380735519
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_x_pct_hs,10,21.650590610000002,12.23533934431291,15.214596058499998,29.29175232825,1.769512884010314,1.6171133954004526
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_y_pct_hs,10,37.274896999999996,16.250370930978455,29.4513986255,47.87467823174999,2.293787456195354,2.0962347633256426
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_z_pct_hs,10,11.878616778999998,4.21271832886891,9.636546451225,14.549346011999997,2.8197035385912774,2.57685626621718
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_3d_pct_refmax,10,48.08935448999999,19.707969010415724,37.59622418,60.70627396,2.4400969204175538,2.2299433091099314
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_z_ref_rms_m,10,-0.054806499460000005,0.0012259727305476956,-0.055558166194250004,-0.05413775893750001,-44.704501245729624,-40.85432123858117
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,disp_z_pct_refrms,10,47.82899954,17.401502893504333,38.683014488750004,58.91246682649999,2.7485556754901728,2.5118360205243864
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,roll_rms_deg,10,-0.021280369200000007,0.10116853306475612,-0.0791126576825,0.038297240917499975,-0.2103457325646783,-0.1922296835865705
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,pitch_rms_deg,10,0.267406744,0.1686730786046304,0.1622908759525,0.3586913883925,1.5853552102810742,1.4488163212483753
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,yaw_rms_deg,10,0.8261547168,0.8897243640028901,0.3217647966775001,1.3628754010299995,0.9285513022067994,0.8485797208280721
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_axis_error_deg,10,-28.3330627433,23.935381998088136,-42.843635758625,-14.563180041875004,-1.1837313791592352,-1.0817823860405946
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_axis_abs_error_deg,10,25.4377563447,21.014822998841293,13.9334339786,38.372500879932495,1.2104673137671718,1.1062156853873952
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_axis_rmse_deg,10,18.379365260000004,18.891772298235274,8.04559785325,29.909902875999997,0.9728767089637674,0.8890875971317571
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_axis_circ_std_deg,10,-0.8170008560000003,6.069660226536962,-4.336351104575,2.822929248999996,-0.1346040512165768,-0.12301126274038825
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_sense_forward_pct,10,-5.23722215978,29.3397931623047,-25.16985474482875,9.60273965149775,-0.17850235449201118,-0.1631288198961025
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_sense_reverse_pct,10,-49.99244398318999,27.00751867874285,-65.38688251262975,-34.06991061797325,-1.8510565364354696,-1.691634091936861
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_sense_uncertain_pct,10,55.229667206,17.839754360195574,44.85477852300001,65.6335962458,3.095875990828078,2.82924333612117
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_sense_dominant_pct,10,-55.22616614,18.076881823655025,-66.21866759250001,-44.977912560499995,-3.0550714818377696,-2.7919531198830034
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_travel_error_deg,10,-24.154805569,26.533675614364505,-39.930050237725006,-8.733035995625,-0.9103452503174246,-0.8319416671277002
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_travel_abs_error_deg,10,23.202927645,20.53987009335735,11.934535275899998,35.85662444209999,1.1296530863894747,1.0323615920873037
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_travel_rmse_deg,10,13.54787321,21.337186719164386,1.6979451527500007,26.48862198024999,0.6349418687812171,0.5802574316269955
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_travel_correct_pct,10,-55.12583274,18.02930375845017,-65.890542592,-44.74040735125002,-3.057568582711522,-2.794235157673799
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_travel_wrong_pct,10,-0.10383333737,0.25279635877879925,-0.22816806279225002,0.05855555421999996,-0.41073905443731407,-0.37536410892887556
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,dir_travel_unresolved_pct,10,55.229667206,17.839754360195574,44.99432136285001,65.925107297925,3.095875990828078,2.82924333612117
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,accel_bias_3d_rms_mps2,10,0.032660850860000014,0.02697949567151368,0.01637481205800001,0.04764122957950001,1.2105804814759749,1.1063191065150322
low_motion,,Hs0.05,Hs0.27,Hs0.05_minus_Hs0.27,gyro_bias_3d_rms_radps,10,1.2200226700000006e-05,2.392708532531787e-05,-2.191773299999985e-06,2.6224381964999992e-05,0.5098918875459783,0.46597739355698103
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_x_rms_m,10,0.02628012309999999,0.02308371988318402,0.013637143287499999,0.04045177419249999,1.138470022725604,1.0404191688274256
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_y_rms_m,10,0.013345349000000006,0.009533483080476197,0.007897821300000014,0.0190037974375,1.3998397948940826,1.279278441085738
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_z_rms_m,10,0.009518176100000001,0.007377840558002149,0.0054697418449999955,0.014017809247500006,1.290103252458662,1.1789929702418793
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_3d_rms_m,10,0.02978416079999998,0.02279024266120523,0.017035344177499977,0.04375619585749997,1.3068821268279065,1.1943267622404734
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_x_pct_hs,10,0.6570031100000001,0.5770928746953349,0.34546564000000013,1.01056364575,1.1384703204780553,1.0404194409359149
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_y_pct_hs,10,0.3336337199999999,0.2383371745019452,0.1908551305,0.47721844650000017,1.3998392013213907,1.2792778986345585
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_z_pct_hs,10,0.23795432900000008,0.18444592226197248,0.1364273520000001,0.3544828210500002,1.2901034952782988,1.1789931921486485
transition_rate,,rapid/Adaptive,controlled/Adaptive,rapid_minus_controlled_Adaptive,disp_3d_pct_refmax,10,0.003174210000000244,0.8897507873208867,-0.5075492737499996,0.529791822,0.003567527048285119,0.003260273395218566
