c_sigma,c_R,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
1.27,48.4,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.330532,3.88861,1.15825,0.272167,0.196368,0.568718,44.3513,4.10091,2.11166
1.27,68.44,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0386068,14.2988,0.120248,0.232312,0.171759,1.14126,2.08082,1.28051,0.507508
1.27,68.44,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.114799,7.6533,0.385067,0.194156,0.144099,1.31254,11.2647,2.18038,1.03029
1.27,68.44,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.223647,5.59118,0.830531,0.356881,0.161619,0.292448,45.5366,3.58993,1.58602
1.27,68.44,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.362405,4.26359,1.57492,0.314637,0.1662,0.815247,77.3763,4.22171,2.00551
1.27,68.44,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0337813,12.5116,0.104056,0.223315,0.173624,0.711742,1.65069,1.17236,0.545251
1.27,68.44,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0966914,6.44609,0.326251,0.218097,0.167845,0.985423,8.78484,2.04464,1.11495
1.27,68.44,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.199364,4.9841,0.734347,0.35264,0.204672,0.470211,31.8542,3.29004,1.58961
1.27,68.44,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.351289,4.13282,1.41553,0.27619,0.191064,0.566596,62.7149,4.10091,2.11166
1.8,4.28,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0126741,4.69412,0.0275093,0.221583,0.194168,1.18097,0.150006,1.28051,0.719303
1.8,4.28,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0977729,6.51819,0.193076,0.180697,0.162081,1.33059,0.704455,2.18038,1.46026
1.8,4.28,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.30518,7.6295,0.624524,0.337588,0.202517,0.271508,2.8477,3.58993,2.24791
1.8,4.28,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.731903,8.61062,1.50429,0.302869,0.223609,0.840623,4.83885,4.22171,2.84246
1.8,4.28,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0125211,4.63746,0.0266098,0.213522,0.194598,0.748369,0.150005,1.17236,0.772796
1.8,4.28,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.106472,7.09811,0.197435,0.20809,0.182277,0.991155,0.549373,2.04464,1.58024
1.8,4.28,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.337079,8.42697,0.643963,0.320812,0.289047,0.443538,1.99205,3.29004,2.25299
1.8,4.28,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.790211,9.2966,1.53597,0.27981,0.20922,0.430771,3.92198,4.10091,2.99291
1.8,6.05,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0123726,4.58244,0.0286623,0.222153,0.193061,1.17914,0.183942,1.28051,0.719303
1.8,6.05,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0821813,5.47876,0.171227,0.180183,0.164333,1.3436,0.995783,2.18038,1.46026
1.8,6.05,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.254258,6.35646,0.540595,0.335341,0.206921,0.283675,4.02537,3.58993,2.24791
1.8,6.05,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.608143,7.15463,1.29249,0.298567,0.205926,0.835562,6.83995,4.22171,2.84246
1.8,6.05,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0124129,4.59736,0.0269125,0.213762,0.19442,0.748345,0.150427,1.17236,0.772796
