mode,axis,distance_m,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,installed_rms_mps2,residual_rms_mps2,cutoff_hz
exact,y-port,0.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0096718641,0.00908236206,0.011470153,0.0175384916,0.311115563,0.12701346,0.481718421,0.0573243648,0.000104372171,0.0534430593,21.4623814,4.24820471,1.53017151,0.00927250553,0.0165475,0.0,nan
exact,y-port,0.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687013417,0.050726153,0.0614794455,0.105227083,0.160465166,0.166268066,0.588550866,0.0390662327,0.000111615213,0.390963972,15.7250919,4.09862947,2.50613642,0.395435303,0.0367935,0.0,nan
exact,y-port,0.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233373195,0.154704496,0.160558537,0.3227624,0.218687296,0.160139069,0.772699356,0.0452534594,0.000129876586,1.04307246,15.3928452,4.01396322,3.93718576,0.840440214,0.0556303,0.0,nan
exact,y-port,0.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534263968,0.398201525,0.314908922,0.737000763,0.283847123,0.196667135,0.546539187,0.0573396608,0.000125837993,2.15460348,14.6156321,3.70481086,4.49675369,1.10321939,0.0595583,0.0,nan
exact,y-port,0.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962120481,0.00902901404,0.0113713052,0.0174183026,0.317119747,0.126184627,0.647859275,0.0582334474,0.000100049692,0.0499124601,22.7824974,4.21159458,1.51930428,0.088680774,0.0169656,0.0,nan
exact,y-port,0.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667745396,0.0484999567,0.060331706,0.102230132,0.158343896,0.166969493,0.427926064,0.0387929268,0.000115242488,0.385561794,15.6477404,4.0221138,2.32574582,0.43827641,0.0453859,0.0,nan
exact,y-port,0.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226773888,0.155431524,0.158098474,0.317144275,0.205164686,0.156384304,0.58127445,0.042785041,0.000123273057,1.04037023,15.1963673,3.95246196,3.67536402,0.908064008,0.0699928,0.0,nan
exact,y-port,0.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539988995,0.386619866,0.314248145,0.734721005,0.318636864,0.210822538,0.44147566,0.0633730069,0.000128249681,2.16781425,14.4960823,3.69703698,4.32255983,1.31836557,0.0757879,0.0,nan
exact,y-port,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967192464,0.00908242352,0.0114702079,0.0175385922,0.311116666,0.127012834,0.481713384,0.0573245175,0.000104371866,0.0534430593,21.4624844,4.24822521,1.53017461,0.00927251764,0.0248212,0.0,nan
exact,y-port,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687010661,0.0507268123,0.0614796504,0.105227336,0.160465688,0.166269064,0.588550389,0.0390663743,0.000111615664,0.390963972,15.7251444,4.0986433,2.50614595,0.395435363,0.0551902,0.0,nan
exact,y-port,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233375773,0.154705659,0.160558417,0.322764784,0.218685374,0.160140663,0.772693157,0.0452532358,0.000129877692,1.04307246,15.3928337,4.01396036,3.93718648,0.840440035,0.0834455,0.0,nan
exact,y-port,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534261763,0.398211658,0.314908594,0.737004459,0.283848703,0.196668565,0.546549916,0.0573400147,0.000125841922,2.15460348,14.6156178,3.7048068,4.49676085,1.10321915,0.0893374,0.0,nan
exact,y-port,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962116849,0.00902913697,0.0113715511,0.0174185075,0.317121804,0.126180351,0.647851467,0.0582334772,0.00010005026,0.0499124601,22.7829895,4.21168566,1.5192796,0.0886804983,0.0254484,0.0,nan
exact,y-port,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667748004,0.0484996922,0.0603316166,0.102230124,0.158343554,0.166970715,0.427931398,0.0387930349,0.000115241557,0.385561794,15.6477165,4.0221076,2.32575989,0.43827644,0.0680789,0.0,nan
exact,y-port,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226773635,0.155432865,0.158098236,0.317144603,0.205166668,0.156384334,0.581276655,0.0427853353,0.000123272388,1.04037023,15.1963444,3.952456,3.67536783,0.90806365,0.104989,0.0,nan
exact,y-port,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539986491,0.386623323,0.314247251,0.734720588,0.318637133,0.210822284,0.441478044,0.0633729547,0.000128250482,2.16781425,14.4960413,3.69702649,4.3225565,1.31836581,0.113682,0.0,nan
exact,z-vertical,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967185665,0.00908232201,0.0114700552,0.0175384022,0.311115742,0.127014369,0.481727421,0.0573244318,0.000104372142,0.0534430593,21.4621983,4.24816847,1.53017449,0.00927251671,0.0138706,0.0,nan
exact,z-vertical,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687015355,0.0507271998,0.0614793748,0.105227672,0.160464704,0.166269466,0.588555753,0.0390663445,0.00011161554,0.390963972,15.7250738,4.09862471,2.50613809,0.395435333,0.0298166,0.0,nan
