arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,yaw_rms_deg,roll_rms_deg,pitch_rms_deg,accel_bias_3d_rms_mps2,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
S1.87_rho1.00,jonswap_H8.500,2,FAIL,0.984110951,1.00803256,0.346346498,1.45071018,3.57363725,0.244079515,0.609463453,0.0926629305,4.07466459,4.22111464,1.4186244
S1.87_rho1.00,jonswap_H8.500,3,FAIL,1.15589464,0.878387511,0.343398333,1.4918375,1.74345553,0.173431352,0.773955524,0.10468787,4.03998041,4.22255135,1.41917109
S1.87_rho1.00,jonswap_H8.500,4,FAIL,1.06893885,1.04562783,0.358132273,1.53760421,2.5339191,0.235248104,0.724567592,0.10729444,4.21332073,4.22084951,1.41772294
S1.87_rho1.00,jonswap_H8.500,5,FAIL,0.920371413,1.17596686,0.329299599,1.52918935,6.70360994,0.418398917,0.813337028,0.141836345,3.87411284,4.22343445,1.41908598
S1.87_rho1.00,pmstokes_H0.270,1,FAIL,0.0449856408,0.0398896374,0.0119267758,0.0612955056,3.19136,0.25760588,0.510449588,0.0876550227,4.41732407,1.18999803,0.396762252
S1.87_rho1.00,pmstokes_H0.270,2,FAIL,0.0429369956,0.0385635905,0.0130423587,0.0591678917,3.98351121,0.347344518,0.190332249,0.0607881099,4.83050299,1.17476964,0.395672619
S1.87_rho1.00,pmstokes_H0.270,3,FAIL,0.0407490954,0.0350851491,0.0117178708,0.0550342165,4.82070494,0.192294732,0.211507931,0.0369547382,4.33995199,1.14895809,0.385178655
S1.87_rho1.00,pmstokes_H0.270,4,FAIL,0.0430716798,0.0367505737,0.0123410067,0.0579488985,2.3112607,0.328161538,0.239506006,0.0620712042,4.57074308,1.1575098,0.397549897
S1.87_rho1.00,pmstokes_H0.270,5,FAIL,0.044429224,0.0381546393,0.0117492536,0.0597308762,5.10127926,0.320837736,0.363255501,0.0799228698,4.35157537,1.14930069,0.397038549
S1.87_rho1.00,pmstokes_H1.500,1,FAIL,0.156981215,0.222389191,0.0584642142,0.278420776,3.21940875,0.259352893,0.524451077,0.0863583535,3.89761424,2.04409766,0.791518748
S1.87_rho1.00,pmstokes_H1.500,2,FAIL,0.152828693,0.204605237,0.0608073957,0.262521327,2.82427049,0.385258228,0.190829292,0.064757362,4.05382633,2.04525042,0.790892839
S1.87_rho1.00,pmstokes_H1.500,3,FAIL,0.16501978,0.175320968,0.0557346866,0.247134224,3.22114706,0.20983091,0.223227933,0.0376161151,3.71564555,2.04276919,0.79007268
S1.87_rho1.00,pmstokes_H1.500,4,FAIL,0.156728745,0.19670932,0.0581996366,0.258158177,1.66480649,0.3512339,0.262566417,0.0654952377,3.87997556,2.04334545,0.791733444
