arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
S1.00_rho1.00,jonswap_H0.270,5,FAIL,0.0460152067,0.0391262919,0.0117992917,0.0615425818,4.37010813,1.25790656,0.351809829
S1.00_rho1.00,jonswap_H1.500,1,FAIL,0.161515549,0.230290368,0.0593224466,0.28747189,3.95482969,2.18100834,0.725054562
S1.00_rho1.00,jonswap_H1.500,2,FAIL,0.158383414,0.218682513,0.0665303171,0.278089255,4.43535423,2.18478942,0.726228893
S1.00_rho1.00,jonswap_H1.500,3,FAIL,0.171985999,0.184860855,0.0581983142,0.259113401,3.87988758,2.17850184,0.729579926
S1.00_rho1.00,jonswap_H1.500,4,FAIL,0.16181244,0.206386983,0.0608584732,0.269225925,4.05723143,2.18348646,0.705685496
S1.00_rho1.00,jonswap_H1.500,5,FAIL,0.151766196,0.232771888,0.0564021692,0.283543527,3.76014447,2.1777575,0.720298052
S1.00_rho1.00,jonswap_H4.000,1,FAIL,0.624145091,0.461341351,0.156731233,0.791806579,3.91828084,3.58995557,1.12525678
S1.00_rho1.00,jonswap_H4.000,2,FAIL,0.633288622,0.445438147,0.169778362,0.792650163,4.24445915,3.59055161,1.12444961
S1.00_rho1.00,jonswap_H4.000,3,FAIL,0.591412961,0.375102341,0.153606713,0.716984034,3.84016776,3.58910298,1.12364471
S1.00_rho1.00,jonswap_H4.000,4,FAIL,0.637979746,0.415323436,0.165247813,0.77898562,4.13119555,3.59000444,1.1244036
S1.00_rho1.00,jonswap_H4.000,5,FAIL,0.632273555,0.456477851,0.152161315,0.794540703,3.8040328,3.58899474,1.12259674
S1.00_rho1.00,jonswap_H8.500,1,FAIL,0.849649549,1.12780046,0.346523166,1.45393145,4.07674313,4.22194338,1.42203033
S1.00_rho1.00,jonswap_H8.500,2,FAIL,0.85519588,0.982701063,0.340837926,1.34656298,4.00985765,4.22111464,1.4186244
S1.00_rho1.00,jonswap_H8.500,3,FAIL,0.927963078,0.852594376,0.335851282,1.30415821,3.95119143,4.22255135,1.41917109
S1.00_rho1.00,jonswap_H8.500,4,FAIL,0.877063453,1.0256722,0.346671104,1.39335012,4.07848358,4.22084951,1.41772294
S1.00_rho1.00,jonswap_H8.500,5,FAIL,0.832760751,1.15200138,0.319667548,1.45697808,3.76079464,4.22343445,1.41908598
S1.00_rho1.00,pmstokes_H0.270,1,FAIL,0.0451140404,0.039837312,0.0119395228,0.0613582954,4.42204523,1.18999803,0.396762252
S1.00_rho1.00,pmstokes_H0.270,2,FAIL,0.0431466736,0.0384864286,0.0130144563,0.0592639595,4.82016897,1.17476964,0.395672619
S1.00_rho1.00,pmstokes_H0.270,3,FAIL,0.0408802554,0.0350182988,0.011729164,0.0550912879,4.34413481,1.14895809,0.385178655
S1.00_rho1.00,pmstokes_H0.270,4,FAIL,0.043287009,0.0366806872,0.0123701524,0.0580711514,4.58153772,1.1575098,0.397549897
S1.00_rho1.00,pmstokes_H0.270,5,FAIL,0.0445997268,0.0380768552,0.0117881056,0.0598158985,4.36596489,1.14930069,0.397038549
S1.00_rho1.00,pmstokes_H1.500,1,FAIL,0.156595677,0.222210228,0.0585303158,0.278074443,3.90202093,2.04409766,0.791518748
S1.00_rho1.00,pmstokes_H1.500,2,FAIL,0.152440056,0.20468089,0.0608478189,0.262363672,4.05652094,2.04525042,0.790892839
S1.00_rho1.00,pmstokes_H1.500,3,FAIL,0.16507262,0.175527051,0.0559283197,0.24735944,3.72855449,2.04276919,0.79007268
S1.00_rho1.00,pmstokes_H1.500,4,FAIL,0.156677172,0.196779579,0.0584286004,0.258232147,3.89523983,2.04334545,0.791733444
S1.00_rho1.00,pmstokes_H1.500,5,FAIL,0.149230525,0.220512152,0.0544205569,0.271766365,3.62803698,2.04234433,0.789860129
S1.00_rho1.00,pmstokes_H4.000,1,FAIL,0.589366734,0.464549601,0.159204751,0.767141223,3.98011875,3.28950691,1.12075531
S1.00_rho1.00,pmstokes_H4.000,2,FAIL,0.599859416,0.405883312,0.162839636,0.742353916,4.07099104,3.29101133,1.12501812
S1.00_rho1.00,pmstokes_H4.000,3,FAIL,0.55908531,0.33785516,0.152000144,0.670691073,3.80000353,3.29030442,1.12644529
S1.00_rho1.00,pmstokes_H4.000,4,FAIL,0.602438331,0.389196247,0.158177614,0.734456182,3.95444036,3.29041028,1.12562871
S1.00_rho1.00,pmstokes_H4.000,5,FAIL,0.595693886,0.422874033,0.145260647,0.744831741,3.63151622,3.29185557,1.1228081
S1.00_rho1.00,pmstokes_H8.500,1,FAIL,0.796256483,1.09329391,0.351725727,1.39750743,4.13794947,4.10336018,1.49631071
S1.00_rho1.00,pmstokes_H8.500,2,FAIL,0.800053656,0.953818917,0.323778331,1.28634703,3.80915666,4.10316706,1.49493265
S1.00_rho1.00,pmstokes_H8.500,3,FAIL,0.894634545,0.818795145,0.321808368,1.2547338,3.7859807,4.10334301,1.49580479
S1.00_rho1.00,pmstokes_H8.500,4,FAIL,0.827868581,0.962136924,0.341868103,1.31451416,4.02197742,4.10386848,1.48789072
S1.00_rho1.00,pmstokes_H8.500,5,FAIL,0.76019913,1.111431,0.320968091,1.38426948,3.77609515,4.10165882,1.49417436
S1.10_rho1.00,jonswap_H0.270,1,FAIL,0.0462318473,0.0404543206,0.0119164987,0.0625774637,4.41351795,1.2979629,0.350295067
S1.10_rho1.00,jonswap_H0.270,2,FAIL,0.044507768,0.0389033183,0.0136400992,0.0606668107,5.05188847,1.28338206,0.351863265
S1.10_rho1.00,jonswap_H0.270,3,FAIL,0.0422078446,0.0358004831,0.0119748125,0.0566266105,4.43511581,1.25628102,0.361482561
S1.10_rho1.00,jonswap_H0.270,4,FAIL,0.044925224,0.0369502418,0.0124977315,0.0594961308,4.62878942,1.26532924,0.350922436
S1.10_rho1.00,jonswap_H0.270,5,FAIL,0.0459716246,0.0391578525,0.0117966421,0.0615295731,4.3691268,1.25790656,0.351809829
S1.10_rho1.00,jonswap_H1.500,1,FAIL,0.161091655,0.230427533,0.0592434853,0.287327617,3.94956565,2.18100834,0.725054562
S1.10_rho1.00,jonswap_H1.500,2,FAIL,0.158152893,0.218910888,0.0664781034,0.278125256,4.43187332,2.18478942,0.726228893
S1.10_rho1.00,jonswap_H1.500,3,FAIL,0.172086537,0.185076296,0.0581106171,0.259314209,3.87404108,2.17850184,0.729579926
S1.10_rho1.00,jonswap_H1.500,4,FAIL,0.161858782,0.206564844,0.0607603975,0.269368023,4.05069304,2.18348646,0.705685496
S1.10_rho1.00,jonswap_H1.500,5,FAIL,0.151469395,0.233079344,0.0563620739,0.283629417,3.75747156,2.1777575,0.720298052
S1.10_rho1.00,jonswap_H4.000,1,FAIL,0.623849332,0.463195831,0.15581727,0.792475462,3.89543176,3.58995557,1.12525678
S1.10_rho1.00,jonswap_H4.000,2,FAIL,0.633780181,0.446951181,0.169144228,0.793758452,4.22860575,3.59055161,1.12444961
S1.10_rho1.00,jonswap_H4.000,3,FAIL,0.596221864,0.375467122,0.152682558,0.720949411,3.81706405,3.58910298,1.12364471
S1.10_rho1.00,jonswap_H4.000,4,FAIL,0.640931427,0.416445524,0.164634362,0.781872451,4.11585903,3.59000444,1.1244036
S1.10_rho1.00,jonswap_H4.000,5,FAIL,0.63190645,0.457888395,0.152091876,0.795046866,3.80229688,3.58899474,1.12259674
