arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
G_S1.87_rho0.53_antilaw,H0.270,2,FAIL,0.0537995845,0.0315611623,0.0136756608,0.0638555065,5.06505966,1.28338206,0.351863265
G_S1.87_rho0.53_antilaw,H0.270,3,FAIL,0.0513468608,0.0299985651,0.0119843818,0.0606633276,4.43865967,1.25628102,0.361482561
G_S1.87_rho0.53_antilaw,H0.270,4,FAIL,0.0545528568,0.0303688888,0.0124795595,0.0636712089,4.62205887,1.26532924,0.350922436
G_S1.87_rho0.53_antilaw,H0.270,5,FAIL,0.0556547754,0.0321658812,0.0117573095,0.0653477833,4.35455894,1.25790656,0.351809829
G_S1.87_rho0.53_antilaw,H1.500,1,FAIL,0.203350648,0.22563304,0.0592652783,0.309473962,3.95101833,2.18100834,0.725054562
G_S1.87_rho0.53_antilaw,H1.500,2,FAIL,0.203139991,0.217588216,0.0673639476,0.305202216,4.4909296,2.18478942,0.726228893
G_S1.87_rho0.53_antilaw,H1.500,3,FAIL,0.221729964,0.181882501,0.0586658791,0.292723596,3.91105843,2.17850184,0.729579926
G_S1.87_rho0.53_antilaw,H1.500,4,FAIL,0.206848323,0.208099559,0.0608322881,0.2996535,4.05548573,2.18348646,0.705685496
G_S1.87_rho0.53_antilaw,H1.500,5,FAIL,0.190345988,0.23412706,0.0571422167,0.307103068,3.80948091,2.1777575,0.720298052
G_S1.87_rho0.53_antilaw,H4.000,1,FAIL,0.799206913,0.378471494,0.15606761,0.897958457,3.90169024,3.58995557,1.12525678
G_S1.87_rho0.53_antilaw,H4.000,2,FAIL,0.81619674,0.385762423,0.169135779,0.918475151,4.22839451,3.59055161,1.12444961
G_S1.87_rho0.53_antilaw,H4.000,3,FAIL,0.768885493,0.320690125,0.151848853,0.846808791,3.79622126,3.58910298,1.12364471
G_S1.87_rho0.53_antilaw,H4.000,4,FAIL,0.818594873,0.353317469,0.169335335,0.90752703,4.23338318,3.59000444,1.1244036
G_S1.87_rho0.53_antilaw,H4.000,5,FAIL,0.804969549,0.38033694,0.155945778,0.903853595,3.89864445,3.58899474,1.12259674
G_S1.87_rho0.53_antilaw,H8.500,1,FAIL,1.11237061,1.12370265,0.335830718,1.61643386,3.95094967,4.22194338,1.42203033
G_S1.87_rho0.53_antilaw,H8.500,2,FAIL,1.13608408,1.05122292,0.352694303,1.58749807,4.14934444,4.22111464,1.4186244
G_S1.87_rho0.53_antilaw,H8.500,3,FAIL,1.25130177,0.905056715,0.350901216,1.58367157,4.12824965,4.22255135,1.41917109
G_S1.87_rho0.53_antilaw,H8.500,4,FAIL,1.18016958,1.04590309,0.365937144,1.61883402,4.30514288,4.22084951,1.41772294
G_S1.87_rho0.53_antilaw,H8.500,5,FAIL,1.07238305,1.16441286,0.336106837,1.61828005,3.95419812,4.22343445,1.41908598
