arm,family,record,axis,settle_own_s,settle_usable_s,peak_err_m,peak_t_s,ss_err_rms_m,ss_ref_rms_m,ss_ratio
engine,TFG,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,y,43.04,180,0.307609,38.364,0.057525,0,nan
engine,TFG,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,87.7264,85.8025,2.18881,55.6177,0.0826049,0.566739,0.145755
engine,PII,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,129.741,87.8913,2.00021,12.8952,0.0822928,0.566739,0.145204
engine,OU-II,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,x,41.2296,161.062,0.644318,36.0285,0.131133,0.299977,0.437142
engine,OU-II,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,y,0,180,0.114377,163.979,0.061408,0,nan
engine,OU-II,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,140.036,139.741,2.82771,71.5053,0.131395,0.566739,0.231844
engine,OU-III,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,x,54.2624,152.919,1.47907,36.8837,0.0897344,0.299977,0.299137
engine,OU-III,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,y,0,180,0.152689,81.21,0.0769772,0,nan
engine,OU-III,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,136.563,135.552,2.17536,56.1528,0.0817999,0.566739,0.144334
engine,NLO,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,x,153.764,180,11.3822,33.878,1.56917,1.06918,1.46764
engine,NLO,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,y,180,180,38.7568,24.6189,1.57093,0,nan
engine,NLO,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,z,173.724,173.469,4.7852,36.6986,0.371523,1.46837,0.253018
engine,TFG,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,x,136.948,142.518,9.88023,54.4624,0.335929,1.06918,0.314193
engine,TFG,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,y,75.9529,180,2.12664,58.8434,0.172479,0,nan
engine,TFG,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,z,101.449,99.3001,7.38583,76.1178,0.213858,1.46837,0.145643
engine,PII,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,z,46.7408,46.1156,3.80058,8.90016,0.342255,1.46837,0.233085
engine,OU-II,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,x,48.4411,170.861,1.8929,43.22,0.457131,1.06918,0.427553
engine,OU-II,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,y,130.967,180,0.487222,126.135,0.158835,0,nan
engine,OU-II,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,z,180,174.114,8.04168,112.633,0.34066,1.46837,0.231999
engine,OU-III,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,x,63.9645,155.982,4.2026,44.3053,0.317902,1.06918,0.297333
engine,OU-III,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,y,150.211,180,0.824907,126.47,0.227393,0,nan
engine,OU-III,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,z,157.053,148.339,5.24966,72.195,0.208877,1.46837,0.142251
engine,NLO,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,x,71.2555,180,12.6462,34.8983,3.75583,2.5493,1.47328
engine,NLO,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,y,149.705,180,47.2232,22.7542,3.72388,0,nan
engine,NLO,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,z,20.6595,121.603,5.61281,3.93004,0.790416,3.06624,0.25778
engine,TFG,wave_data_fenton_H8.500_L202.839_A0.00_P72.00,x,180,180,63.2697,68.7119,0.878287,2.5493,0.344521
