family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,hs_m,rpm,arm,regression_exit_code
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0766015723,0.0490777753,0.0967990905,0.132840112,5.10677147,3.27185154,6.45327234,9.92885494,0.385561794,25.1059856,0.208604783,0.187071443,0.502794445,13.8219032,20.5149899,91.9272232,0.0822222233,7.99055576,-15.1539764,-30.0,14.8460236,22.1205368,15.6699982,0.0822222233,91.9272232,7.99055576,91.9272232,0.0474066958,0.000110935805,2.326056,0.412268132,2.23059177,4.63564825,0.261256695,4.0886488,0.298793554,14.8460236,13.8219032,1.5,0,unconditioned,0
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0766015723,0.0490777753,0.0967990905,0.132840112,5.10677147,3.27185154,6.45327234,9.92885494,0.385561794,25.1059856,0.208604783,0.187071443,0.502794445,13.8219032,20.5149899,91.9272232,0.0822222233,7.99055576,-15.1539764,-30.0,14.8460236,22.1205368,15.6699982,0.0822222233,91.9272232,7.99055576,91.9272232,0.0474066958,0.000110935805,2.326056,0.412268132,2.23059177,4.63564825,0.261256695,4.0886488,0.298793554,14.8460236,13.8219032,1.5,0,guard-only,0
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0766015723,0.0490777753,0.0967990905,0.132840112,5.10677147,3.27185154,6.45327234,9.92885494,0.385561794,25.1059856,0.208604783,0.187071443,0.502794445,4.31834269,20.413744,85.7322235,0.227777779,14.04,-25.5388489,-30.0,4.46115112,23.3269291,21.3855114,40.1388893,45.8211136,14.04,45.8211136,0.0474066958,0.000110935805,2.326056,0.412268132,2.23059177,4.63564825,0.261256695,4.0886488,0.298793554,4.46115112,4.31834269,1.5,0,guard-and-rao,0
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,5.22130919,5.26264763,1.67250502,7.59965801,348.08728,350.84317,111.500328,568.020508,0.385561794,433.783905,7.30955124,4.81579638,103.752022,90.0938492,91.3466873,0.107222222,0.127777785,99.7649994,56.3467407,-30.0,86.3467407,81.81987,9.19538975,0.230555564,0.00444444455,99.7649994,0.230555564,0.49833855,0.263244152,2.32561207,0.413662016,2.23727918,4.63507318,0.262516916,4.03384399,0.29905349,86.3467407,90.0938492,1.5,2400,unconditioned,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0857927799,0.0519823842,0.0932513475,0.136961251,5.71951866,3.46549225,6.21675634,10.2368813,0.385561794,24.1858368,0.341583848,0.780419827,2.56062222,17.5953064,34.1323433,70.136116,2.24555564,27.6183338,-8.73179626,-30.0,21.2682037,25.2235374,13.2327185,2.24555564,70.136116,27.6183338,70.136116,0.145495132,0.000121568279,2.3267045,0.412333965,2.23219228,4.63557863,0.258815199,4.03699017,0.298666179,21.2682037,17.5953064,1.5,2400,guard-only,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0857927799,0.0519823842,0.0932513475,0.136961251,5.71951866,3.46549225,6.21675634,10.2368813,0.385561794,24.1858368,0.341583848,0.780419827,2.56062222,15.5540543,33.4857025,76.6222229,2.33611107,21.0416679,-10.1723328,-30.0,19.8276672,26.946949,17.9745083,2.31388903,76.6444473,21.0416679,76.6444473,0.145495132,0.000121568279,2.3267045,0.412333965,2.23219228,4.63557863,0.258815199,4.03699017,0.298666179,19.8276672,15.5540543,1.5,2400,guard-and-rao,1
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.265889496,0.173820496,0.24920392,0.403749168,6.6472373,4.34551239,6.23009777,9.97919273,1.04037023,23.9533882,0.175942913,0.162238896,0.498395383,-10.3434324,17.1602402,94.7716675,0.173333332,5.05500031,19.1869354,30.0,-10.8130646,16.6253777,12.54496,0.173333332,94.7716675,5.05500031,94.7716675,0.0396279469,0.000120282675,3.67561054,0.857780755,11.5887146,7.32536983,0.200000003,5.0,0.999155521,10.8130646,10.3434324,4.0,0,unconditioned,0
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.265889496,0.173820496,0.24920392,0.403749168,6.6472373,4.34551239,6.23009777,9.97919273,1.04037023,23.9533882,0.175942913,0.162238896,0.498395383,-10.3434324,17.1602402,94.7716675,0.173333332,5.05500031,19.1869354,30.0,-10.8130646,16.6253777,12.54496,0.173333332,94.7716675,5.05500031,94.7716675,0.0396279469,0.000120282675,3.67561054,0.857780755,11.5887146,7.32536983,0.200000003,5.0,0.999155521,10.8130646,10.3434324,4.0,0,guard-only,0
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.265889496,0.173820496,0.24920392,0.403749168,6.6472373,4.34551239,6.23009777,9.97919273,1.04037023,23.9533882,0.175942913,0.162238896,0.498395383,-1.85153353,14.8881407,94.7011108,0.0377777778,5.26111126,27.4641724,30.0,-2.53582764,15.1812592,14.8074598,0.0377777778,94.7011108,5.26111126,94.7011108,0.0396279469,0.000120282675,3.67561054,0.857780755,11.5887146,7.32536983,0.200000003,5.0,0.999155521,2.53582764,1.85153353,4.0,0,guard-and-rao,0
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,9.3841114,9.67472935,2.91372848,13.7895517,234.602783,241.86824,72.8432083,340.826965,1.04037023,280.066498,5.61301994,5.65369034,103.437515,14.0254555,25.6183987,8.37277794,0.13722223,91.4900055,44.8916016,30.0,14.8916016,17.0642395,8.30920696,8.37277794,0.13722223,91.4900055,8.37277794,0.506348431,0.187291697,3.67552376,0.859026492,11.6049967,7.32486057,0.200000003,5.0,0.999545753,14.8916016,14.0254555,4.0,2400,unconditioned,1
