family,arm,engine,seed,record,live_s,seed_mps2,true_bz_at_live_mps2,x_startup_rms_m,x_gated_rms_m,x_ref_gated_rms_m,y_startup_rms_m,y_gated_rms_m,y_ref_gated_rms_m,z_startup_rms_m,z_gated_rms_m,z_ref_gated_rms_m,z_peak_300_m,z_ref_startup_rms_m,roll_startup_rms_deg,roll_gated_rms_deg,pitch_startup_rms_deg,pitch_gated_rms_deg,yaw_startup_rms_deg,yaw_gated_rms_deg
OU-II,seed,off,11,fenton_H0.270,31.8377,0.00339831,-0.0240354,0.0146979,0.0153036,0.0158745,0.0100559,0.00890155,0,0.58275,0.0204778,0.078717,0.943771,0.0787619,0.319894,0.234612,0.215878,0.202746,3.26431,3.9299
OU-II,seed,off,11,fenton_H1.500,31.8377,0.00734569,-0.0240354,0.147337,0.1242,0.299977,0.0585565,0.0633853,0,4.14671,0.130045,0.566739,6.93347,0.566402,0.329835,0.233306,0.245869,0.233434,3.31087,4.02301
OU-II,seed,off,11,fenton_H4.000,34.2081,0.0168598,-0.0239491,0.670972,0.432456,1.06918,0.12621,0.151223,0,12.5456,0.339444,1.46837,23.9428,1.471,0.343335,0.238449,0.54496,0.193578,3.3088,3.92076
OU-II,seed,off,11,fenton_H8.500,35.3433,-0.000241555,-0.0233047,2.10269,1.07248,2.5493,0.222996,0.310227,0,12.9632,0.71208,3.06624,23.7766,3.08274,0.35289,0.234684,0.999923,0.251591,3.59239,4.02596
OU-II,seed,off,11,jonswap_H0.270,31.8377,0.00944328,-0.0240258,0.00777381,0.0082889,0.00935647,0.00694826,0.0063288,0.00416604,0.4692,0.0159061,0.0534438,0.789505,0.0544531,0.313974,0.174512,0.205522,0.183283,3.02442,2.54697
OU-II,seed,off,11,jonswap_H1.500,31.8377,0.009881,-0.0240258,0.0780884,0.0827031,0.164757,0.0501738,0.0554651,0.0717971,3.18671,0.0950734,0.390972,5.63166,0.352913,0.32887,0.240191,0.211424,0.20288,3.17354,3.64667
OU-II,seed,off,11,jonswap_H4.000,31.8377,0.0101727,-0.0240258,0.244101,0.265774,0.588407,0.186136,0.172332,0.311768,7.2444,0.251033,1.04309,12.4992,0.831127,0.331154,0.206348,0.236906,0.194202,3.02654,2.20382
OU-II,seed,off,11,jonswap_H8.500,31.8377,0.000119391,-0.0240258,0.678864,0.623249,1.3709,0.423161,0.422016,0.834738,11.2823,0.511938,2.15464,22.1712,1.74296,0.377921,0.216051,0.398063,0.228529,3.14507,3.51039
OU-II,seed,off,11,pmstokes_H0.270,31.8377,0.00952024,-0.0240258,0.00785159,0.008021,0.00881326,0.00680761,0.00618211,0.00430301,0.456684,0.015434,0.0499133,0.820144,0.0498557,0.313955,0.176576,0.205842,0.188117,3.03373,2.67122
OU-II,seed,off,11,pmstokes_H1.500,31.8377,0.0144324,-0.0240258,0.0734271,0.0792449,0.15315,0.0490396,0.0543533,0.0700072,3.1926,0.0928223,0.385566,5.53688,0.347642,0.32962,0.245781,0.206671,0.193247,3.14242,3.43646
