Paired per-(record, seed) change against the deployed variances, percent (negative is better).
Bracketed range is over records and seeds; * marks one sign on every pair.

arm                                         roll                   pitch                     yaw                       z                      3d                 accbias
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sga_0.36                   -1.14 [ -26.7, +17.7]   +17.41 [ -26.0,+177.0]    +2.28 [ -20.5, +29.0]    -0.10 [  -2.4,  +4.9]    +0.05 [  -0.2,  +0.6]   +14.59 [ -27.6,+150.3] 
pq0_0.001                pmstokes_H1.500      -0.01     +2.78     +1.25     -0.02     -0.02     +0.75
pq0_0.001                pmstokes_H4.000      -0.00     -0.54     -0.17     -0.02     -0.02     -0.38
pq0_0.001                pmstokes_H8.500      +0.11     -1.38     -1.13     +0.04     +0.43     -0.41

pq0_0.01                 jonswap_H0.270       -0.08     +0.88     +0.12     -0.01     -0.01     +0.10
pq0_0.01                 jonswap_H1.500       +0.04     -0.36     -0.05     +0.00     +0.01     -0.22
pq0_0.01                 jonswap_H4.000       -1.14     -0.40     +3.68     +0.20     -0.07     +0.72
pq0_0.01                 jonswap_H8.500       +0.09     -2.81     -2.20     -0.17     +0.34     -3.34
pq0_0.01                 pmstokes_H0.270      -0.01     +0.28     +0.04     -0.00     +0.00     +0.02
pq0_0.01                 pmstokes_H1.500      +0.00     +4.93     +2.22     -0.03     -0.11     +1.30
pq0_0.01                 pmstokes_H4.000      -0.11     -0.42     -0.23     -0.01     +0.00     -0.23
pq0_0.01                 pmstokes_H8.500      +0.03     -1.26     -2.18     +0.23     +1.38     +0.27

brw_1e-13                jonswap_H0.270       +0.58     -0.67     -0.04     -0.02     +0.21     -0.54
brw_1e-13                jonswap_H1.500       -0.08     +2.43     +0.11     +0.01     +0.26     +0.07
brw_1e-13                jonswap_H4.000       -0.34     +1.83     -0.10     +0.03     +0.04     -0.40
brw_1e-13                jonswap_H8.500       -0.18     +0.46     +0.18     +0.01     +0.43     +0.34
brw_1e-13                pmstokes_H0.270      +0.34     +0.35     -0.08     -0.00     +0.09     -0.38
brw_1e-13                pmstokes_H1.500      +0.11     -2.10     -0.31     -0.03     +0.51     -0.54
brw_1e-13                pmstokes_H4.000      -0.34     +0.02     +0.10     +0.02     +0.19     +0.07
brw_1e-13                pmstokes_H8.500      -0.44     +0.26     +0.56     +0.10     +0.73     +0.51

brw_1e-12                jonswap_H0.270       +0.57     -0.66     -0.03     -0.02     +0.21     -0.54
brw_1e-12                jonswap_H1.500       -0.08     +2.39     +0.10     +0.01     +0.25     +0.07
brw_1e-12                jonswap_H4.000       -0.33     +1.79     -0.10     +0.03     +0.03     -0.40
brw_1e-12                jonswap_H8.500       -0.17     +0.44     +0.18     +0.01     +0.43     +0.33
brw_1e-12                pmstokes_H0.270      +0.33     +0.34     -0.08     -0.00     +0.08     -0.38
brw_1e-12                pmstokes_H1.500      +0.11     -2.07     -0.31     -0.03     +0.50     -0.53
brw_1e-12                pmstokes_H4.000      -0.33     +0.02     +0.10     +0.02     +0.18     +0.07
brw_1e-12                pmstokes_H8.500      -0.44     +0.26     +0.55     +0.09     +0.72     +0.51

