arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
sga_0.36,pmstokes_H8.500,5,FAIL,0.320321739,0.465493292,5.93013668,0.322901249,1.26126015,3.79883814,0.0787724108,0.000375642237,4.10175991,1.66373026
sga_0.5,jonswap_H0.270,1,FAIL,0.288731933,0.384064615,3.75977612,0.0118296333,0.0607289933,4.38134575,0.0686768889,0.000377325836,1.29800832,0.41444388
sga_0.5,jonswap_H0.270,2,FAIL,0.336521089,0.205981404,4.05783224,0.0141651584,0.0581301302,5.24635506,0.0611847825,0.000326040084,1.28341174,0.41662091
sga_0.5,jonswap_H0.270,3,FAIL,0.204751223,0.192612872,5.90371561,0.0120769879,0.0569731742,4.47295856,0.0393336676,0.000182571617,1.25631773,0.417670429
sga_0.5,jonswap_H0.270,4,FAIL,0.217766777,0.711575091,3.43988562,0.0125253676,0.05630197,4.63902473,0.122874089,0.000129429813,1.26536524,0.418171555
sga_0.5,jonswap_H0.270,5,FAIL,0.392344981,0.546385348,6.24543858,0.0120882373,0.0580689907,4.47712469,0.112824038,0.000224915348,1.25794101,0.417452663
sga_0.5,jonswap_H1.500,1,FAIL,0.249417588,0.586821377,2.99271631,0.0592947081,0.269692808,3.95298028,0.100461379,0.000201299423,2.18094516,0.811524987
sga_0.5,jonswap_H1.500,2,FAIL,0.404398113,0.187881082,2.71478415,0.0664987564,0.26008901,4.43325043,0.0675319731,0.000211385734,2.18473244,0.810378373
sga_0.5,jonswap_H1.500,3,FAIL,0.194435611,0.479947418,2.85997367,0.0572971851,0.256682158,3.8198123,0.0747935399,0.000320117862,2.17844152,0.810786724
sga_0.5,jonswap_H1.500,4,PASS,0.454912484,0.139397472,0.942297459,0.0598849542,0.255236894,3.99233007,0.0748821795,0.000233744184,2.18342996,0.810346067
sga_0.5,jonswap_H1.500,5,FAIL,0.227209181,0.285264611,5.84062958,0.0560089722,0.258566439,3.7339313,0.0527570844,0.000171444903,2.17769837,0.810503185
sga_0.5,jonswap_H4.000,1,FAIL,0.427292645,0.268793553,2.80619097,0.154276043,0.725427866,3.85690117,0.0696524009,0.000226550095,3.58984709,1.25036561
sga_0.5,jonswap_H4.000,2,FAIL,0.232894957,0.388080448,3.74275851,0.168614388,0.713930607,4.21535969,0.0663718209,0.000245291274,3.59044552,1.24946749
sga_0.5,jonswap_H4.000,3,FAIL,0.178157821,0.228032872,4.83627081,0.155316636,0.690624177,3.88291597,0.0322614424,0.00025495686,3.58899403,1.24857092
sga_0.5,jonswap_H4.000,4,FAIL,0.198586419,0.776920378,2.83343863,0.16425474,0.706539333,4.10636854,0.125720069,0.000277178216,3.58989811,1.2494247
sga_0.5,jonswap_H4.000,5,FAIL,0.420795977,0.607870519,3.66981816,0.153530106,0.720353007,3.83825254,0.122180969,0.000260057655,3.58888578,1.24740982
sga_0.5,jonswap_H8.500,1,FAIL,0.251851946,0.473220795,2.9997313,0.336611778,1.35050941,3.96013856,0.0855969936,0.000289682095,4.22191954,1.58010566
sga_0.5,jonswap_H8.500,2,FAIL,0.52164048,0.217341214,2.46487188,0.340009183,1.24328005,4.00010777,0.0843305886,0.000261602225,4.22109175,1.57632208
sga_0.5,jonswap_H8.500,3,FAIL,0.187152907,0.198518932,3.61039305,0.340875894,1.34090173,4.01030445,0.043873433,0.000454163674,4.22252655,1.57692933
sga_0.5,jonswap_H8.500,4,FAIL,0.570537984,0.664199769,2.15769434,0.375849009,1.33145988,4.42175293,0.133940458,0.000387977896,4.22082567,1.57532203
sga_0.5,jonswap_H8.500,5,FAIL,0.278882742,0.512841463,5.88944674,0.321713924,1.3322289,3.78486967,0.0878981128,0.000236238804,4.22340918,1.57683241
sga_0.5,pmstokes_H0.270,1,FAIL,0.256552458,0.528460681,3.13759518,0.0119454982,0.0593523495,4.42425871,0.0907466635,0.000210225611,1.18997025,0.464323074
sga_0.5,pmstokes_H0.270,2,FAIL,0.36269483,0.155019268,3.85935664,0.0134895202,0.0564704575,4.99611855,0.060834337,0.000208101628,1.17473733,0.463478357
